Modern warfare,Lightsaber combat
Lizard,Dragon
Shape,Shapeshifting
Prime number,Optimus Prime
#Asperger's,Self-confidence
#Girlfriend,Video games
Civil war,Civil War (comics)
Marriage,Married... with Children
Family (biology),Family Guy
Half-life,Half-Life 2
Armageddon,Armageddon (1998 film)
Apocalypse,Resident Evil: Apocalypse
Gray's Anatomy,Grey's Anatomy
#Debate,Comparison of Battlestar Galactica (1978) and (2003)
Raphael (archangel),Raphael (Teenage Mutant Ninja Turtles)
#Receptionist,Telephone,Pam Beesly
#Paper,Company,The Office (American TV series)
Citizen Kane,Clerks II
Henry VIII (play),Jay and Silent Bob Strike Back
God,Kevin Smith
#Anger management,Limit break
Nirvana,Nirvana (band)
#Love,Masturbation
Japanese mythology,Toilets in Japan
#Bathing,Acne
#Universe,Transformers: Universe
Vulcan (mythology),Pon farr
Francis Xavier,Professor X
John Locke,John Locke (Lost)
Real life,Second Life
#Dating,Internet dating
Jet Propulsion Laboratory,Black Mesa Research Facility
Hammurabi,Palpatine
#IRC,Prom
Outer space,Star Wars
# merged
Eau de Cologne,Cologne (Ranma ½)
# merged
Shampoo,Shampoo (Ranma ½)
Knuckle,Knuckles the Echidna
#Sports,Chronic fatigue syndrome
#Category:American philosphers,List of big-bust models and performers
Civil war,Dominion War
Steam,Steampunk
Marines,Stormtrooper (Star Wars)
Normality (behavior),Furry fandom
Buzz Aldrin,Jean-Luc Picard
Aristotle,Oprah Winfrey
Latin,Klingon language
Ash Wednesday,Ash Ketchum
Battle of Okinawa,Inuyasha (character)
Cosmos,Sailor Cosmos
Trail of Tears,Tears for Fears
Physician,Doctor Doom
Archaeology,Indiana Jones (character)
Adult,Adult Swim
# merged
Protozoa,Protoss
Dwarfism,Small Soldiers
United States Department of Homeland Security,Homestar Runner
Reality,The Matrix
Thunderstorm,Storm (Marvel Comics)
Wall Street Crash of 1929,Video game crash of 1983
Culture,Neon Genesis Evangelion
Vegetable,Vegeta
Cobra,Cobra Commander
Rosetta Stone,Rose Tyler
Magic (supernatural),Magic: The Gathering
Arachnid,Spider-Man
List of animal names,List of Pokémon
Astronomy,Changes in Star Wars re-releases
# plus deleted article:Fan fiction terminology
Fiction,Fan fiction
List of modern conflicts in the Middle East,List of furry role-playing games
Nightmare,Nightmare (Kirby)
# plus deleted:Bachelor Party (Angel episode)
Bachelor party,LAN party
Diamond cutting,Cutter (professional wrestling)
Mars (mythology),Mars Reconnaissance Orbiter,Mars,Veronica Mars
#Women's suffrage,List of fictional gynoids and female cyborgs
Cave painting,Lolicon
Military tactics,Final Fantasy Tactics
Dough,D'oh!
Home improvement,Home Improvement (TV series)
Apollo 11,Johnny 5
# vvv From part II
#Yamato-class battleship,Galaxy class starship
Achondroplasia,Too Short
Dogfight,Top Gun
Culture of Mexico,El Chavo del Ocho
Sefirot,Sephiroth (Final Fantasy)
Shadow,Shadow the Hedgehog
#Mother,Motherboard,Cyberchase
#Hacker,Backdoor,White_hat,2600:_The_Hacker_Quarterly,Trojan_horse_(computing),Encryption,Hackers_(film)
#St._John_the_Evangelist,Evangelist,Evangelion
#Paracingulate_cortex,Car-boat,Pope_John_VI,Wikigroaning
World war,World of Warcraft
Recall election,Total Recall (1990 film)
Krypton,Kryptonite
Gas,Flatulence
Gone with the Wind (film),Snakes on a Plane
Adolescence,Teen Girl Squad
Felidae,Garfield
Mutation,X-Men
Skeleton,Jack Skellington
Ludwig van Beethoven,Metallica
Hobby,Bong
Space station,Star Trek: Deep Space Nine
Eating,Anilingus
Robotics,RoboCop
Epic film,Epic Movie
Advent,Final Fantasy VII: Advent Children
Confucius,Yoda
Toad,Battletoads
Meiji (era),Rurouni Kenshin
Oedipus Rex,Metal Gear REX
Beowulf (hero),He-Man
Existential quantification,Something Awful
#Extracurricular activity,Psychoactive drug
Voltaire,Voltron
Dissociative identity disorder,Fight Club
Mountain,Mountain Dew
# Deleted and recreated as a redirect
#Plot (narrative),Plot of Naruto
Gun,Gundam
Lists of monarchs in the British Isles,List of ancient Jedi
Martial arts,Anything Goes Martial Arts
Battle of San Juan Hill,King of the Hill
Brothers Grimm,Grimlock
Holland,Hollaback Girl
Symphony,Castlevania: Symphony of the Night
Solar flare,Ric Flair
# Some complicated splitting and renaming of A article makes this a difficult example
#List of Biblical figures,List of 24 characters
Friendship,Friends
Dante Gabriel Rossetti,Dante (Devil May Cry)
Gladiator,American Gladiators (1989 TV series)
Heavy metals,Metal umlaut
Theology,Goku
